index,class
0,ACCIDENTS I CATÀSTROFES
1,ACTUALITAT ROSA
2,AGRICULTURA, RAMADERIA I PESCA
3,ARTS
4,CINEMA
5,CIÈNCIA I INVESTIGACIÓ
6,CONFLICTES ARMATS
7,CULTURA
8,DEFENSA
9,ECONOMIA, COMERÇ I FINANCES
10,ENERGIA
11,ENSENYAMENT
12,ESPECTACLES
13,ESPORTS
14,FENÒMENS NATURALS
15,FESTES I TRADICIONS
16,GASTRONOMIA
17,HISTÒRIA
18,INDÚSTRIA
19,JUSTÍCIA I ORDRE  PÚBLIC
20,LITERATURA
21,MEDI AMBIENT
22,MEDICINA I SANITAT
23,MISCEL·LÀNIA
24,MITJANS DE COMUNICACIÓ
25,MÚSICA
26,OBRES PÚBLIQUES I INFRAESTRUCTURES
27,POLÍTICA
28,RECURSOS TERRITORIALS
29,RELACIONS INTERNACIONALS
30,RELIGIÓ
31,SOCIETAT
32,TAUROMÀQUIA
33,TERRORISME
34,TRANSPORTS I COMUNICACIONS
35,TREBALL
36,TURISME
37,URBANISME I HABITATGE
