ESPORTS% 95653
JUSTÍCIA I ORDRE  PÚBLIC% 39042
POLÍTICA% 30031
SOCIETAT% 23588
ACCIDENTS I CATÀSTROFES% 21180
FESTES I TRADICIONS% 13458
MEDICINA I SANITAT% 12099
ECONOMIA, COMERÇ I FINANCES% 12040
AGRICULTURA, RAMADERIA I PESCA% 8209
MEDI AMBIENT% 8067
FENÒMENS NATURALS% 8061
TRANSPORTS I COMUNICACIONS% 7762
TERRORISME% 6091
CONFLICTES ARMATS% 5946
CULTURA% 4684
MÚSICA% 4330
URBANISME I HABITATGE% 4092
TURISME% 4005
CINEMA% 3838
OBRES PÚBLIQUES I INFRAESTRUCTURES% 3817
TREBALL% 3776
ARTS% 3458
ENSENYAMENT% 3191
CIÈNCIA I INVESTIGACIÓ% 2981
RELIGIÓ% 2929
RELACIONS INTERNACIONALS% 2859
ESPECTACLES% 2396
MITJANS DE COMUNICACIÓ% 2018
INDÚSTRIA% 1939
ENERGIA% 1345
DEFENSA% 1225
GASTRONOMIA% 1013
LITERATURA% 613
HISTÒRIA% 605
ESPORTS | ESPORTS% 447
POLÍTICA | JUSTÍCIA I ORDRE  PÚBLIC% 318
JUSTÍCIA I ORDRE  PÚBLIC | POLÍTICA% 311
MISCEL·LÀNIA% 242
ACCIDENTS I CATÀSTROFES | FENÒMENS NATURALS% 226
ESPORTS | SOCIETAT% 208
FENÒMENS NATURALS | ACCIDENTS I CATÀSTROFES% 200
ACTUALITAT ROSA% 194
POLÍTICA | ECONOMIA, COMERÇ I FINANCES% 187
ECONOMIA, COMERÇ I FINANCES | POLÍTICA% 181
MEDICINA I SANITAT | SOCIETAT% 179
SOCIETAT | JUSTÍCIA I ORDRE  PÚBLIC% 168
JUSTÍCIA I ORDRE  PÚBLIC | SOCIETAT% 163
TERRORISME | JUSTÍCIA I ORDRE  PÚBLIC% 158
JUSTÍCIA I ORDRE  PÚBLIC | TERRORISME% 157
POLÍTICA | SOCIETAT% 156
ACCIDENTS I CATÀSTROFES | JUSTÍCIA I ORDRE  PÚBLIC% 156
SOCIETAT | POLÍTICA% 148
RECURSOS TERRITORIALS% 141
POLÍTICA | MEDICINA I SANITAT% 137
POLÍTICA | TERRORISME% 135
SOCIETAT | MEDICINA I SANITAT% 133
MEDICINA I SANITAT | POLÍTICA% 124
TAUROMÀQUIA% 124
ESPORTS | JUSTÍCIA I ORDRE  PÚBLIC% 102
SOCIETAT | ECONOMIA, COMERÇ I FINANCES% 98
