ESPORTS, 456
MEDICINA I SANITAT, 372
POLÍTICA, 153
SOCIETAT, 131
ECONOMIA, COMERÇ I FINANCES, 113
JUSTÍCIA I ORDRE  PÚBLIC, 84
TURISME, 71
TRANSPORTS I COMUNICACIONS, 51
ENSENYAMENT, 39
CULTURA, 33
TREBALL, 33
MEDI AMBIENT, 29
FESTES I TRADICIONS, 28
MÚSICA, 25
MITJANS DE COMUNICACIÓ, 22
ACCIDENTS I CATÀSTROFES, 21
ESPORTS | MEDICINA I SANITAT, 21
MEDICINA I SANITAT | SOCIETAT, 19
POLÍTICA | MEDICINA I SANITAT, 18
MISCEL·LÀNIA, 17
URBANISME I HABITATGE, 14
MEDICINA I SANITAT | POLÍTICA, 13
INDÚSTRIA, 13
CIÈNCIA I INVESTIGACIÓ, 13
MEDICINA I SANITAT | TURISME, 13
AGRICULTURA, RAMADERIA I PESCA, 13
MEDICINA I SANITAT | ECONOMIA, COMERÇ I FINANCES, 9
MEDICINA I SANITAT | TRANSPORTS I COMUNICACIONS, 9
SOCIETAT | MEDICINA I SANITAT, 8
OBRES PÚBLIQUES I INFRAESTRUCTURES, 8
ECONOMIA, COMERÇ I FINANCES | MEDICINA I SANITAT, 8
CINEMA, 8
MEDICINA I SANITAT | CIÈNCIA I INVESTIGACIÓ, 8
ARTS, 7
TURISME | MEDICINA I SANITAT, 7
MEDICINA I SANITAT | TREBALL, 6
FENÒMENS NATURALS, 5
MEDICINA I SANITAT | ENSENYAMENT, 5
MEDICINA I SANITAT | MÚSICA, 5
POLÍTICA | TREBALL, 5
ESPECTACLES, 5
MEDICINA I SANITAT | FESTES I TRADICIONS, 4
JUSTÍCIA I ORDRE  PÚBLIC | MEDICINA I SANITAT, 4
MEDICINA I SANITAT | INDÚSTRIA, 4
ESPORTS | TREBALL, 4
RELIGIÓ, 4
RELACIONS INTERNACIONALS, 4
SOCIETAT | ESPORTS, 3
ENSENYAMENT | MEDICINA I SANITAT, 3
GASTRONOMIA, 3
DEFENSA, 3
FESTES I TRADICIONS | MEDICINA I SANITAT, 3
TERRORISME, 3
ENERGIA, 3
