,Description,Classificació
1,I al marge del coronavirus.El policia local de Benidorm que va insultar una dona transsexual ha passat la nit al calabós després d'haver sigut detingut per la Policia Nacional.Se l'investiga per un possible delicte d'odi. L'Ajuntament l'ha suspés provisionalment de les seues funcions juntament amb el company que va gravar les imatges. La Conselleria de Justícia ha ordenat també una investigació i l'Observatori contra la LGTIFOBIA demana una resposta contundent.DETINGUT PELS INSULTS TRÀNSFOBS,JUSTÍCIA I ORDRE  PÚBLIC
3,"Els ingressos hospitalaris de persones afectades per la Covid19 s'han reduït un 42 per cent en les últimes dos setmanes a la Comunitat Valenciana, fins a arribar als 120 ingressats. En les xifres donades hui a conéixer per laConselleria de Sanitat Universal i Salut Pública destaca també la reducció a la mitat dels ingressats a les UCI en els últims quinze dies. Actualment el nombre de persones en unitats de cures intensives és de 120. Des del començament de l'epidèmia s'han resgistrat un total de 12.514 casos, dels quals 7287 han rebut l'alta. La xifra de persones contagiades ha pujat hui en 305, un repunt que duplica la quantitat d'ahir, quan només s'afegiren 151 nous casos. 13 persones han mort, quatre més que ahir.LES DADES A LA COMUNITAT VALENCIANA",MEDICINA I SANITAT
4,"El president del govern espanyol Pedro Sánchez ha presidit hui a Madrid la reunió del comité de la COVID19.El director del Centre de Coordinació d'Alertes i Emergències Sanitàries, Fernando Simón li ha transmés les últimes informacions sobre l'efecte de la pandèmia a Espanya. Sánchez ha demanat a la població prudència i responsabilitat en la primera jornada en què els adults poden eixir a passejar i fer esport.REUNIÓ DEL COMITÉ CIENTÍFIC DE LA COVID19",POLÍTICA | MEDICINA I SANITAT
6," Pel que fa a la xifra de víctimes mortals en tot l'Estat, tercer dia consecutiu que es manté per davall de les 300. De fet, ha experimentat una lleu baixada fins a les 276. Lluny dels més de 4MIL nous positius de diumenge passat, hui han sigut poc més d'un miler, pel que el total puja a més de 216MIL També pugen les altes, que s'han duplicat en només una setmana.LES DADES EN EL CONJUNT DE L'ESTAT",MEDICINA I SANITAT
9,"Primer dia d'alleujament del confinament després de 7 setmanes de reclusió a casa.Corredors, caminants i ciclistes han envaït els carrers en un dos de maig més típic de l'estiu. Ha sigut el primer pas a l'exterior per als majors de 14 anys. Unajornada de desescalda que ha servit per a descarregar l'adrenalina acumulada des del 14 de març itambé gaudir de l'aire lliure.PRIMER DIA DE RESPIR A L'AIRE LLIURE",SOCIETAT | ESPORTS
13,"Els coronavirus ens deixa xifres esperançadores en este segon dia en què s'ha ampliant al conjunt de la població la possibilitat d'eixir a passejar o fer esport. A la Comunitat Valencia hem superat ja les 7MIL altes, el que suposa que el 60% dels contagis s'han curat. El nous positIus són 172 i 8 persones han perdut la vida en les últimes 24 hores, el que deixa un balanç de vícitmes de MIL274. Al conjunt de l'estat hui s'ha registrat la xifra més baixa de morts des del passat 18 de març. 164 noves víctimes mortals que fan pujar el total a més de 25MIL 200. Els nous casos detectats per PCR també baixen a dades de març i no superen el miler, mentre que les altes tripliquen els ingressos.S'han detectat 172 nous positiusi 8 persones més han perdut la vida. Tot i el descens, la quantitat total puja als 1.274. Mentrestant, a tot l'Estat, s'ha registrat la xifra de morts més baixa des del passat 18 de març. 164 noves víctimes mortals que fan pujar el total a més de 25.200. Els nous casos detectats per PCR també baixen a dades de març i no superen el miler, mentre que les altes tripliquen els ingressos.  LA DADA DE MORTS A L'ESTAT, COM LA DEL 18 DE MARÇ",MEDICINA I SANITAT
15,Una de les reivindicacions centrals del Consell per a la planificació de la desescalada és que el marc de referència siga el departament de salut i no la província. El govern del Botànic entén que la divisió provincial és una mesura administrativa que en cap cas respon a la incidència real de la pandèmia. Pedro Sánchez va reiterar ahir que considera més adequada i fàcil de comprendre per al ciutadà la divisió provincial.S'OBRI LA PORTA A LA DESESCALADA PER DEPARTAMENTS,POLÍTICA | MEDICINA I SANITAT
17,"La Inspecció de Treball i els sindicats investiguen ja fraus en l'aplicació dels ERTO a les empreses valencianes. Sobretot la d'empelats i empelades que, tot i estar acomiadats temporalment, seguixen treballant des de casa i cobrant de l'Estat. Un frau que es castiga amb multes de fins a 187 mil euros per treballador. / RÈTOL/El teletreball seria una de les principals fonts de frau. Seguixen treballant des de casa, tot i estar acomiadats temporalment i, per tant, cobrant de l'Estat, és a dir, de tots. Són el casos més difícils d'investigar per la Inspecció de Treball i afecten sobretot empreses menudes.Tall Francisco RogeroDirector territorial de la Inspecció de Treball i Seguretat Social "" somos concientes del nivel de fraude en el teletrabajo. Y nos preocupa. Para investigarlo habrá que requerir incluso la cooperación de las telefónicas""L'altre frau investigat seria el dels anomenats treballadors paracaigudistes.tall Rogero "" trabajadores que no formanan parte de la empresa cuando se tramita el ERTE y que reciben la prestación""/RÈTOL/ Dos pràctiques que se sancionen amb multes de fins a 187 mil euros per treballador, el retorn dels diners cobrats il·legalment i, en ocasions, també amb penes de presó.Aconseguir controlarho queda en mans de només 125 inspectors. S'encarreguen de supervisar el 63 mil ERTOS presentats a la Comunitat. Són més de 500 expedients per cap.Els sindicats impulsen també la investigació dels casos i animen a denunciar.tall Daniel Patiño "" hem de denunciar públicament al que comet la picaresca en este moment de crisi social on no es pot jugar amb els diners de tots"" Secretari Acció Sindical CCOOPerquè, comINVESTIGUEN SI TREBALLADORS AFECTATS PER UN ERTO FAN TELETREBALL COBRANT DE L'ESTAT ESTOS FRAUS ESTAN SANCIONATS AMB MULTES DE FINS A 187.000 EUROS I PENES DE PRESÓ",TREBALL | JUSTÍCIA I ORDRE  PÚBLIC
83,"Hi ha zones de la Comunitat Valenciana que podrien NO passar a la fase 1 de desescalada dilluns. Una hipòtesi que s'extrau de les paraules de la Consellera de Sanitat Ana Barceló en la roda de premsa diària en què s'analitza l'evolució de la pandèmia a casa nostra. Diuen des de Conselleria que encara treballen en la proposta completa per al Ministeri amb el qual tenen una nova reunió esta vesprada. Els recordem que l'ultima paraula la té el ministre. Mentrestant, la fotografia de l'evolució de l'epidèmia continua mostrant un clar alentiment, tot i que han augmentat les residències de majors amb casos positius. Respecte a si podrem anar a qualsevol hora als bars, en principi la resposta és no.11.37.1911.37.25Una afirmació que obri la porta a la realitat que potser no tots ho faran al mateix temps i que en tot cas haurà de decidir el Ministeri. No és, però, l'únic interrogant que es maté d'ací a dilluns. A 48 hores d'un possible canvi de fase, la consellera de Sanitat afirma que la proposta al Ministeri encara no està totalment tancada i tampoc concreta si el document aposta per ferho per departaments de salut o si s'ha fet una altra divisió territorial. Aspectes que podrien aclarirse esta vesprada en el consell interterritorial.Més dubtes: la població es pregunta si l'obertura de comerços i bars tindrà com a conseqüència un canvi en les franges horàries. 1.18.4411.18.56 s a dir, podria donarse el cas de poder anar a sopar a un restaurant, però haver de renunciar a esta possibilitat perquè no es pot anar amb els fills me",MEDICINA I SANITAT
86," I el ministre de Cultura ha recongut hui que el decret d'ajudes destinat al món cultural aprovat pel govern espanyol no cobrix tot el dany causat, però sí que ajuda a pal·liar la parada produïda per la pandèmia del coronavirus. Ho ha dit José Manuel Rodríguez Uribes en l'entrevista concedida als informatius d'À Punt.Davant les crítiques rebudes per alguns sectors culturals, el ministre Rodríguez Uribes defén el decret del govern espanyol de suport al sector amb 80 milions d'euros d'ajudes directes, i 800 milions en avals, però reconeix que no s'ha arribat a tot.El ministre de Cultura assegura que el decret destina 40 milions d'euros per al sector musical. Pel que fa a festivals, com ara el FIB, l'Arenal Sound o el Rototom, recorda que si la desescalada funciona bé, estos esdeveniments podran tornar a partir del 30 de juny.El ministre ha refermat el seu suport a les festes valencianes com les Falles i ha dit que manté el compromís d'augmentar el pressupost per al Palau de les Arts de València. Aposta per un pacte d'estat per la cultura que ajude a enfortir el sector.Rodríguez Uribes ha destacat el reconeixement del govern espanyol a alguns actes com l’Any Berlanga o l'eixida de la volta al món a vela d’Alacant.",CULTURA
