class,mean_len_txts,mean_len_words,1_grama,2_grama,3_grama
"ESPORTS","373","13.0","[('de', 433063), ('el', 343816), ('la', 331087), ('que', 220572), ('en', 186574), ('per', 141204), ('ha', 137482), ('del', 135715), ('els', 105794), ('un', 105682)]","[('de la', 79344), ('en la', 36551), ('en el', 33921), ('vila real', 18417), ('la seua', 17854), ('el valència', 17666), ('el seu', 15995), ('de les', 15806), ('amb el', 15742), ('que ha', 15322)]","[('el vila real', 8499), ('de la lliga', 5490), ('del vila real', 5300), ('cap de setmana', 4034), ('de la copa', 3861), ('la lliga de', 3431), ('en la lliga', 3216), ('lliga de campions', 3133), ('el reial madrid', 3087), ('atlètic de madrid', 2985)]"
"ENSENYAMENT","347","12.0","[('de', 21048), ('la', 15091), ('que', 9346), ('el', 8405), ('per', 6773), ('en', 6713), ('les', 6561), ('els', 6467), ('ha', 4490), ('un', 4242)]","[('de la', 3823), ('de les', 1346), ('la comunitat', 1248), ('la universitat', 982), ('comunitat valenciana', 797), ('de valència', 713), ('la conselleria', 696), ('per la', 678), ('més de', 676), ('en la', 582)]","[('la comunitat valenciana', 788), ('de la comunitat', 682), ('la conselleria educació', 471), ('de la universitat', 367), ('de la generalitat', 307), ('font de mora', 230), ('tall de veu', 219), ('president de la', 217), ('la universitat de', 199), ('el conseller educació', 190)]"
"POLÍTICA","380","9.833333333333334","[('de', 169323), ('la', 144480), ('el', 106800), ('que', 83778), ('ha', 67558), ('del', 58221), ('per', 52831), ('en', 51794), ('les', 47616), ('els', 41123)]","[('de la', 37561), ('de les', 10601), ('el president', 9069), ('en la', 7843), ('la comunitat', 7336), ('la generalitat', 6951), ('en el', 6760), ('partit popular', 6702), ('per la', 6699), ('del govern', 6401)]","[('de la generalitat', 5676), ('la comunitat valenciana', 4902), ('president de la', 4231), ('el president de', 3272), ('de la comunitat', 3140), ('el partit popular', 2987), ('del partit popular', 2958), ('ha dit que', 2657), ('el president del', 2271), ('president del govern', 2073)]"
"MITJANS DE COMUNICACIÓ","360","9.25","[('de', 14454), ('la', 11093), ('el', 6034), ('que', 5396), ('en', 4306), ('les', 3684), ('per', 3621), ('els', 3398), ('un', 2926), ('del', 2902)]","[('de la', 3230), ('de les', 888), ('la televisió', 646), ('en la', 596), ('en el', 513), ('esta nit', 512), ('per la', 470), ('esta casa', 463), ('la seua', 419), ('des de', 401)]","[('la comunitat valenciana', 265), ('de la televisió', 235), ('de la comunitat', 217), ('de radiotelevisió valenciana', 177), ('la televisió punt', 166), ('de la nit', 149), ('mitjans de comunicació', 143), ('tall de veu', 134), ('de la generalitat', 123), ('esta nit les', 113)]"
"HISTÒRIA","351","7.2","[('de', 6182), ('la', 4369), ('el', 2363), ('que', 2271), ('en', 1536), ('del', 1520), ('un', 1468), ('les', 1280), ('els', 1226), ('per', 1069)]","[('de la', 1361), ('de les', 370), ('de valència', 253), ('en la', 206), ('la seua', 203), ('més de', 167), ('en el', 165), ('la història', 163), ('la guerra', 160), ('que es', 160)]","[('la guerra civil', 101), ('de la guerra', 68), ('de la ciutat', 66), ('una de les', 64), ('de la història', 57), ('tall de veu', 56), ('les restes de', 49), ('la comunitat valenciana', 47), ('de la comunitat', 41), ('valle de los', 38)]"
"JUSTÍCIA I ORDRE  PÚBLIC","379","10.5","[('de', 252654), ('la', 190806), ('que', 103518), ('el', 100885), ('en', 73444), ('ha', 69043), ('un', 65268), ('els', 64244), ('per', 62222), ('les', 47721)]","[('de la', 43125), ('la policia', 15423), ('la seua', 10635), ('de les', 10255), ('de anys', 9038), ('per la', 7614), ('en el', 7154), ('guàrdia civil', 6859), ('en la', 6718), ('la guàrdia', 6675)]","[('la guàrdia civil', 6510), ('anys de presó', 3088), ('la policia ha', 2567), ('de la policia', 2494), ('la comunitat valenciana', 2291), ('la policia nacional', 2214), ('de la seua', 1941), ('guàrdia civil ha', 1721), ('de la guàrdia', 1641), ('de presó per', 1559)]"
"MEDI AMBIENT","364","12.0","[('de', 52447), ('la', 36313), ('que', 21186), ('el', 17851), ('les', 14296), ('per', 13274), ('en', 13194), ('els', 12239), ('del', 10776), ('un', 10584)]","[('de la', 9479), ('de les', 3570), ('medi ambient', 2076), ('la comunitat', 1835), ('de valència', 1464), ('per la', 1463), ('més de', 1444), ('hi ha', 1269), ('de medi', 1263), ('en la', 1211)]","[('de medi ambient', 1253), ('la comunitat valenciana', 1186), ('de la comunitat', 838), ('la conselleria de', 828), ('conselleria de medi', 687), ('una de les', 573), ('parc natural de', 479), ('tall de veu', 447), ('la nostra comunitat', 432), ('de la conselleria', 333)]"
"ECONOMIA, COMERÇ I FINANCES","361","9.333333333333334","[('de', 76425), ('la', 56009), ('el', 36536), ('que', 35853), ('per', 25865), ('en', 24177), ('les', 23274), ('els', 21821), ('un', 18635), ('ha', 17753)]","[('de la', 13097), ('de les', 4996), ('per cent', 4583), ('en el', 3415), ('la comunitat', 3210), ('milions euros', 2598), ('en la', 2547), ('més de', 2432), ('un per', 2410), ('comunitat valenciana', 2283)]","[('un per cent', 2315), ('la comunitat valenciana', 2250), ('de la comunitat', 1246), ('tall de veu', 970), ('el per cent', 908), ('de milions euros', 825), ('de la generalitat', 755), ('president de la', 673), ('el president de', 664), ('la unió europea', 589)]"
"ARTS","361","9.0","[('de', 23396), ('la', 15032), ('que', 7632), ('el', 7451), ('les', 4895), ('del', 4886), ('en', 4828), ('una', 4230), ('un', 4204), ('per', 3876)]","[('de la', 4464), ('de valència', 1790), ('de les', 1543), ('la seua', 1042), ('en la', 610), ('fins al', 574), ('des de', 541), ('per la', 504), ('en el', 501), ('que es', 491)]","[('fins al de', 317), ('tall de veu', 289), ('una de les', 282), ('de la seua', 249), ('de belles arts', 244), ('de la ciutat', 229), ('des de hui', 222), ('siguen feliços adéu', 214), ('la seua obra', 199), ('de la vesprada', 196)]"
"ACCIDENTS I CATÀSTROFES","368","13.0","[('de', 127907), ('la', 80506), ('que', 48258), ('el', 47918), ('ha', 47354), ('en', 40602), ('un', 38198), ('les', 35974), ('els', 30797), ('han', 29425)]","[('de la', 18766), ('de les', 7086), ('que ha', 4656), ('de anys', 4505), ('hi ha', 4272), ('en un', 4110), ('més de', 3902), ('el foc', 3688), ('la vida', 3202), ('els bombers', 3112)]","[('la comunitat valenciana', 1358), ('cap de setmana', 1272), ('persones han mort', 1255), ('els bombers han', 1156), ('el foc ha', 1087), ('una de les', 1065), ('la guàrdia civil', 1043), ('perdut la vida', 1028), ('de anys ha', 968), ('no hi ha', 859)]"
